inv_br;naziv;stopa;amgrp;amgrp_naz;datum_nabave;aktivirano;kto_nabave;kto otpisa;duguje;potrazuje;saldo;amortizacija_za_razdoblje
576;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;1118.11;456.68;661.43;111.84
577;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;271.97;111.23;160.74;27.24
578;Alati za savijanje lukova;10;1008;Ostala oprema;2012-12-01;2012-12-01;03010;03901;347.53;142.10;205.43;34.80
580;Aparat za varenje specija;10;1008;Ostala oprema;2013-03-01;2013-03-01;03010;03901;14444.90;5537.02;8907.88;1444.44
581;Projectno platno+WEB kame;10;1008;Ostala oprema;2013-03-01;2013-03-01;03100;03908;1016.98;389.62;627.36;101.64
582;Računalo instar Surf G460;50;1003;Elekt. Računala, oprema i mobi;2013-03-01;2013-03-01;03110;03902;1519.20;1519.20;0.00;0.00
583;Preša ručna za alate;10;1008;Ostala oprema;2013-04-01;2013-04-01;03230;03904;8803.20;3301.20;5502.00;880.32
584;MAN TGM BJ109FA;25;1007;Vozila teretna i kombi vozila;2013-04-01;2013-04-01;03203;03903;154227.00;144587.70;9639.30;38556.72
585;Renault master BJ714FK;25;1007;Vozila teretna i kombi vozila;2013-06-01;2013-06-01;03203;03903;129600.00;116100.00;13500.00;32400.00
586;Renault master BJ773FL;25;1007;Vozila teretna i kombi vozila;2013-06-01;2013-06-01;03203;03903;129600.00;116100.00;13500.00;32400.00
587;Renault master BJ772FL;25;1007;Vozila teretna i kombi vozila;2013-06-01;2013-06-01;03203;03903;122400.00;109650.00;12750.00;30600.00
588;Računalo fujitsu simens;50;1003;Elekt. Računala, oprema i mobi;2013-08-01;2013-08-01;03110;03902;2064.00;2064.00;0.00;0.00
590;Preša ručna aluminij;10;1008;Ostala oprema;2013-08-01;2013-08-01;03230;03904;378.00;129.15;248.85;37.80
591;Mercedes-benz S350D;20;1005;Osobna vozila;2013-08-01;2013-08-01;03200;03920;540000.00;369000.00;171000.00;108000.00
592;Računalo ASUS SABERTOOTH;50;1003;Elekt. Računala, oprema i mobi;2013-10-01;2013-10-01;03110;03902;4020.39;4020.39;0.00;0.00
593;Namještaj Koprivnica;20;1004;Namještaj(uredski,pogonski);2013-11-01;2013-11-01;03210;03911;5327.91;3374.40;1953.51;1065.60
594;Preša pneumatska aluminij;10;1008;Ostala oprema;2013-12-01;2013-12-01;03230;03904;7120.78;2195.58;4925.20;712.08
595;Stol konferencijski+ladič;20;1004;Namještaj(uredski,pogonski);2013-12-12;2014-01-01;03210;03911;3560.00;2135.88;1424.12;711.96
596;"Računalo+monitor 22""";50;1003;Elekt. Računala, oprema i mobi;2013-12-06;2014-01-01;03110;03902;1279.20;1279.20;0.00;0.00
597;Preša pneumatska aluminij;10;1008;Ostala oprema;2013-12-12;2014-01-01;03230;03904;6874.50;2062.44;4812.06;687.48
598;Fotoaparat DSLR Nikon D61;10;1008;Ostala oprema;2014-02-01;2014-02-01;03100;03908;15877.65;4630.85;11246.80;1587.72
599;Linde viličar H45D-03-600;25;1007;Vozila teretna i kombi vozila;2012-12-31;2012-12-31;03203;03903;72392.77;72392.64;0.13;18098.16
600;Intel SSD 525;50;1003;Elekt. Računala, oprema i mobi;2013-07-29;2013-08-01;03110;03902;2825.19;2825.19;0.00;0.00
602;Preša pneumatska aluminij;10;1008;Ostala oprema;2014-04-01;2014-04-01;03230;03904;6986.30;1921.26;5065.04;698.64
603;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;18360.00;11857.50;6502.50;4590.00
604;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;18750.00;12109.53;6640.47;4687.56
605;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;17980.00;11611.98;6368.02;4494.96
606;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;19510.00;12600.26;6909.74;4877.52
607;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;19510.00;12600.26;6909.74;4877.52
608;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;19890.00;12845.78;7044.22;4972.56
609;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;17595.00;11363.36;6231.64;4398.72
610;Fiat PUNTO 1.3 Furgon;25;1007;Vozila teretna i kombi vozila;2014-06-01;2014-06-01;03203;03903;21420.00;13833.75;7586.25;5355.00
611;Računalo IQ standard Come;50;1003;Elekt. Računala, oprema i mobi;2014-07-01;2014-07-01;03110;03902;1439.20;1439.20;0.00;359.74
612;Industrijska ograda;5;1002;Građevinski objekti niskogradn;2014-06-01;2014-06-01;02350;03950;12250.00;1582.24;10667.76;612.48
613;Fotokopirni uređaj konica;50;1003;Elekt. Računala, oprema i mobi;2014-12-01;2014-12-01;03110;03902;4290.00;4290.00;0.00;1966.25
614;Fotokopirni uređaj konica;50;1003;Elekt. Računala, oprema i mobi;2014-09-01;2014-09-01;03110;03902;2995.20;2995.20;0.00;998.40
615;OPERA dodatna licenca;25;1009;Licence;2014-11-01;2014-11-01;00;01910;3199.77;1733.16;1466.61;799.92
616;Kaspersky Endpoint Securi;25;1009;Licence;2014-11-01;2014-11-01;00;01910;5059.20;2740.40;2318.80;1264.80
617;Mrežni preklopnik;50;1003;Elekt. Računala, oprema i mobi;2014-07-01;2014-07-01;03110;03902;6451.74;6451.74;0.00;1612.98
618;MIKRO SERVER;50;1003;Elekt. Računala, oprema i mobi;2014-09-01;2014-09-01;03110;03902;6713.81;6713.81;0.00;2597.22
619;Lenovo Z50-70PC;50;1003;Elekt. Računala, oprema i mobi;2014-12-01;2014-12-01;03110;03902;3588.88;3588.88;0.00;1644.86
620;MS Windows 8.1 pro.engl;25;1009;Licence;2014-12-01;2014-12-01;00;01910;959.92;500.00;459.92;240.00
621;HP 3500MT računalo;50;1003;Elekt. Računala, oprema i mobi;2014-12-01;2014-12-01;03110;03902;1959.12;1959.12;0.00;897.93
622;Lenovo T440S 20AQ004UCS;50;1003;Elekt. Računala, oprema i mobi;2014-12-02;2015-01-01;03110;03902;9075.19;9075.12;0.07;4537.56
623;Printer termo-bar kod INT;50;1003;Elekt. Računala, oprema i mobi;2015-04-01;2015-04-01;03110;03902;12473.50;10914.33;1559.17;6236.76
624;Hard disk 2,5 sata samsun;50;1003;Elekt. Računala, oprema i mobi;2015-05-01;2015-05-01;03110;03902;3722.35;3102.00;620.35;1861.20
625;Lenovo B50-45 AMD Quad co;50;1003;Elekt. Računala, oprema i mobi;2015-04-30;2015-05-01;03110;03902;2079.99;1733.40;346.59;1040.04
626;Klima Vaillant Vai-2-035;10;1008;Ostala oprema;2015-05-01;2015-05-01;03100;03908;3673.19;612.20;3060.99;367.32
627;Klima ToshibaRAV-SM;10;1008;Ostala oprema;2015-05-01;2015-05-01;03030;03906;10900.00;1816.60;9083.40;1089.96
628;Lenovo prijenosno računal;50;1003;Elekt. Računala, oprema i mobi;2015-09-01;2015-09-01;03110;03902;5518.40;3678.88;1839.52;2759.16
629;Baterija hermetička bater;50;1003;Elekt. Računala, oprema i mobi;2015-09-01;2015-09-01;03110;03902;4590.00;3060.00;1530.00;2295.00
630;Preša hidraulična ručna;10;1008;Ostala oprema;2015-10-01;2015-10-01;03010;03901;4671.09;583.95;4087.14;467.16
631;Kaspersky Endpoint Securi;25;1009;Licence;2015-11-01;2015-11-01;00;01910;5299.50;1545.74;3753.76;1324.92
632;SERVER SQLSSvrstdCore 201;50;1003;Elekt. Računala, oprema i mobi;2015-10-01;2015-10-01;03110;03902;68785.80;42991.20;25794.60;34392.96
633;Windows SRV Inspirit;25;1009;Licence;2015-12-01;2015-12-01;00;01910;9345.00;2530.97;6814.03;2336.28
634;Ralica za snijeg FM;25;1007;Vozila teretna i kombi vozila;2015-12-01;2015-12-01;03203;03903;3150.00;853.19;2296.81;787.56
635;Lenovo HDD USB 3.0 portab;50;1003;Elekt. Računala, oprema i mobi;2015-12-01;2016-01-01;03110;03902;5413.75;2932.41;2481.34;2706.84
636;Renault master;25;1007;Vozila teretna i kombi vozila;2015-12-01;2015-12-01;03203;03903;120348.30;32594.38;87753.92;30087.12
637;Agregat benzin Hobi PT;10;1008;Ostala oprema;2015-12-03;2016-01-01;03010;03901;4236.54;423.60;-423.60;423.60
638;Veeam Backup Essentials S;50;1003;Elekt. Računala, oprema i mobi;2015-12-01;2016-01-01;03110;03902;5531.75;2996.37;2535.38;2765.88
639;Citroen Jumper;25;1007;Vozila teretna i kombi vozila;2015-12-01;2015-12-01;03203;03903;122849.53;33271.81;89577.72;30712.44
643;DELL Logitech+LG LCD;50;1003;Elekt. Računala, oprema i mobi;2016-03-01;2016-03-01;03110;03902;10824.51;4510.20;-4510.20;4510.20
644;Lenovo računalo Think;50;1003;Elekt. Računala, oprema i mobi;2016-03-01;2016-03-01;03110;03902;8081.95;3704.25;-3704.25;3704.25
645;Monitor Dell Profesional;50;1003;Elekt. Računala, oprema i mobi;2016-04-01;2016-04-01;03110;03902;4275.00;1603.17;-1603.17;1603.17
646;Citroen Jumper;25;1007;Vozila teretna i kombi vozila;2016-03-01;2016-03-01;03203;03903;127865.26;26638.60;-26638.60;26638.60
647;Citroen Jumper;25;1007;Vozila teretna i kombi vozila;2016-03-01;2016-03-01;03203;03903;127865.26;26638.60;-26638.60;26638.60
648;Windows SRV standard 2012;25;1009;Licence;2016-04-01;2016-04-01;00;01910;5291.00;992.07;-992.07;992.07
650;Ormar za spise;20;1004;Namještaj(uredski,pogonski);2016-06-01;2016-06-01;03210;03911;6393.60;745.92;-745.92;745.92
651;Stroj za klamanje drvenih;10;1008;Ostala oprema;2016-07-01;2016-07-01;03010;03901;18775.00;938.76;-938.76;938.76
652;Citroen C3 1.4 HDI;25;1007;Vozila teretna i kombi vozila;2016-07-01;2016-07-01;03203;03903;38000.00;4750.02;-4750.02;4750.02
653;ERP program knjigovodstve;50;1013;Elekt. Računala, PROJEKTNI;2016-07-20;2016-08-01;01200;01930;337120.00;70233.35;-70233.35;70233.35
654;BMW  320D TOURING;20;1005;Osobna vozila;2016-07-01;2016-07-01;03200;03920;331900.03;33190.02;-33190.02;33190.02
655;Ford Kuga BJ224GK;20;1005;Osobna vozila;2016-10-01;2016-10-01;03200;03920;220923.04;18096.45;-18096.45;18096.45
656;ŠPICA Time&Space;50;1013;Elekt. Računala, PROJEKTNI;2016-07-21;2016-08-01;01200;01930;31865.00;6638.55;-6638.55;6638.55
657;Horst Klaes program;50;1013;Elekt. Računala, PROJEKTNI;2016-07-26;2016-08-01;01200;01930;488765.15;101826.10;-101826.10;101826.10
658;Računalo INTEL NUC i3;50;1003;Elekt. Računala, oprema i mobi;2016-02-01;2016-02-01;03110;03902;33889.60;15532.77;-15532.77;15532.77
659;Tablet Prestigio Multipad;50;1003;Elekt. Računala, oprema i mobi;2016-02-01;2016-08-01;03110;03902;18000.00;8250.00;-8250.00;8250.00
660;Kosilica traktor;25;1007;Vozila teretna i kombi vozila;2016-08-01;2016-08-01;03203;03903;25343.43;2639.95;-2639.95;2639.95
661;Renault Trafic 2,0 DCI115;25;1007;Vozila teretna i kombi vozila;2016-10-01;2016-10-01;03203;03903;76900.00;4806.24;-4806.24;4806.24
662;Renault Trafic 2,0 DCI115;25;1007;Vozila teretna i kombi vozila;2016-10-01;2016-10-01;03203;03903;69900.00;4368.75;-4368.75;4368.75
663;Orgadata License fee;25;1009;Licence;2016-10-01;2017-01-01;00;01910;170805.00;10675.32;-10675.32;10675.32
664;Odvlaživač zraka TROTEC T;10;1008;Ostala oprema;2015-12-21;2016-01-01;03030;03906;2901.32;290.16;2611.16;290.16
665;"Tablet AppleiPad Pro9.7""";50;1003;Elekt. Računala, oprema i mobi;2016-10-01;2016-08-01;03110;03902;7627.38;953.43;-953.43;953.43
666;L-Kosilica traktor;25;1007;Vozila teretna i kombi vozila;2016-11-01;2016-11-01;03203;03903;25343.43;1055.98;-1055.98;1055.98
667;Synology DS916+8GB DiskSt;50;1003;Elekt. Računala, oprema i mobi;2016-11-01;2016-11-01;03110;03902;6603.38;550.28;-550.28;550.28
668;Renault Master dupla kabi;25;1007;Vozila teretna i kombi vozila;2016-12-01;2016-12-01;03203;03903;129675.00;2701.56;-2701.56;2701.56
669;Renault Master dupla kabi;25;1007;Vozila teretna i kombi vozila;2016-12-01;2016-12-01;03203;03903;134360.00;2799.17;-2799.17;2799.17
670;L-Top za grijanje-Termoge;10;1008;Ostala oprema;2016-12-31;2016-12-31;03230;03904;4179.92;;0.00;0.00
671;Konica Minolta bizhub 284;50;1003;Elekt. Računala, oprema i mobi;2016-12-31;2016-12-31;03110;03902;16640.00;;0.00;0.00
672;L-Sustav grijanja LEPIRAC;10;1008;Ostala oprema;2016-12-31;2016-12-31;03020;03905;154518.88;;0.00;0.00
674;L-ODSIS - FILTER STANICA;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;45731.12;;0.00;0.00
675;L-WINDOR 40 R;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;284451.47;;0.00;0.00
676;L-AUTOM.BLANJALICA AB2/00;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;87358.16;;0.00;0.00
677;L-SUSARA ZA DRVO INCOMAC;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;111591.75;;0.00;0.00
678;L-DV. CEPAONA GLODALICA C;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;158886.35;;0.00;0.00
679;L-CNC MASTERWOOD OMB1 CN3;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;28826.24;;0.00;0.00
680;L-PRESA CASOLIN MOD-3000;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;18663.77;;0.00;0.00
681;L-MASTERWOOD LINEA N.320;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;3420.06;;0.00;0.00
682;L-Upravljacka jedinica tr;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;1172.59;;0.00;0.00
683;L-MASTERWOOD OMB1 CN3 TF3;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;2736.05;;0.00;0.00
684;L-MASTERWOOD OMB1 CN3 TF3;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;4592.66;;0.00;0.00
685;L-MASTERWOOD OMB1 CN3 TF3;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;10553.34;;0.00;0.00
686;L-Modifica parte elettron;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;70844.15;;0.00;0.00
687;L-RADNO VRIJEME ELEKTRONI;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;5667.53;;0.00;0.00
688;L-SINUMERIK-IZRADA PROGRA;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;5667.53;;0.00;0.00
689;L-AUTOMATSKA PRESA AMS+DO;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;11823.64;;0.00;0.00
690;L-MASTERWOOD OMB1 CN3 TF1;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;12116.79;;0.00;0.00
691;L-LINIJA ZA PROFILIRANJE;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;431905.02;;0.00;0.00
692;L-ALATNI STROJ PILJENJE D;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;12214.51;;0.00;0.00
693;L-STROJ ZA MONTAZU DRVENI;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;20031.79;;0.00;0.00
695;L-STROJ ZA OPTIMIZACIJU L;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;49835.19;;0.00;0.00
698;L-KOTLOVNICA;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;128887.49;;0.00;0.00
700;L-RAVNALICA F1 TECNOMAX C;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;4201.79;;0.00;0.00
701;L-RAVNALICA F1 TECNOMAX C;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;4201.79;;0.00;0.00
702;L-HOR.KRUZNA PILA TECNOMA;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;5667.53;;0.00;0.00
703;L-R.STROJ ZA IZR.UTORA VE;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;6644.69;;0.00;0.00
704;L-BRUSILICA 50CB;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;36838.96;;0.00;0.00
705;L-DEBLJACA TECNOMAC SP1;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;5276.67;;0.00;0.00
706;L-STR.ZA IZR KVADR. FC/2T;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;10357.90;;0.00;0.00
707;L-STOLARSKA PILA SP800;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;2931.48;;0.00;0.00
708;L-DVOSTR. REZACICA TR2B V;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;9673.89;;0.00;0.00
709;L-REZACICA TVB400 SALVADO;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;23256.42;;0.00;0.00
710;L-REZACICA TVB400 SALVADO;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;23256.42;;0.00;0.00
711;L-HIDR.PRESA CASOLIN 3000;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;16807.16;;0.00;0.00
712;L-VISELISNA KRUZNA PILA R;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;49444.33;;0.00;0.00
713;L-TRACNA PILA HP 240 HORI;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;4201.79;;0.00;0.00
715;L-PANTOGRAF S NAST.SCM T-;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;36057.23;;0.00;0.00
716;L-KOMB.KRUZNA KUTNA JEDNO;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;15634.57;;0.00;0.00
717;L-CNC PRESA ZA SKURE (AUT;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;35861.80;;0.00;0.00
718;L-STRJ ZA IZRADU UTORA BE;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;4006.36;;0.00;0.00
719;L-MASTERWOOD OMB1 CN3 TF3;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;59313.65;;0.00;0.00
720;L-STROJ ZA PRANJE CELICNI;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;5667.53;;0.00;0.00
721;L-STROJ ZA PAKIRANJE (COR;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;5569.82;;0.00;0.00
722;L-STROJ ZA OBR. DRVETA (C;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;6937.84;;0.00;0.00
723;L-RUCNA REZAC.ZA DRVO (CO;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;2247.47;;0.00;0.00
724;L-STOL ZA BAUSOLA 850;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;488.58;;0.00;0.00
725;L-CETVEROSRT.AKUTOM.BLANJ;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;1368.02;;0.00;0.00
726;L-Pakirni stol za roletne;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;4299.51;;0.00;0.00
727;L-Pneumatski  stol za rol;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;6058.40;;0.00;0.00
728;L-VILICAR SER.BR.90259132;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;8110.43;;0.00;0.00
729;L-VILICAR SER.BR.90259133;25;1007;Vozila teretna i kombi vozila;2016-07-01;2016-12-31;03010;03901;8110.43;;0.00;0.00
730;L-VILICAR SER.BR.FN362497;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;18566.05;;0.00;0.00
731;L-VILICAR RABLJ1984./HT4;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;2833.77;;0.00;0.00
733;L-RUC.REZ.KRUZNA PILA OMG;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;586.30;;0.00;0.00
734;L-MIKROSKOP OPTICONTROL;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;3810.93;;0.00;0.00
735;L-PERILICA ZA GLODALO UTR;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;1465.74;;0.00;0.00
736;L-BRUSILICA BM 400/R;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;1758.89;;0.00;0.00
737;L-BRUSILICA NOZEVA BM 850;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;2052.04;;0.00;0.00
738;L-BUSILICA HUVEMA 32 PROF;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
739;L-TOKARKSKI STROJ BV 20 (;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;2442.90;;0.00;0.00
740;L-KABINA ZA ZASTITU NA RA;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
741;L-APARAT ZA ZAVAR. VARIN;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
742;L-APARAT ZA ZAVAR. VARMIN;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
743;L-USISAVAC EM VC 6401;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
744;L-BOSCH BRUSILICA GSM 175;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
745;L-SKRIPAC BRAVARSKI 150;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
746;L-ECO KOSILICA HD - 70;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;1172.59;;0.00;0.00
747;L-MACCHINA PER TAGLIARE E;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
748;L-Cistac sikare BC 2145;10;1008;Ostala oprema;2016-07-01;2016-12-31;03010;03901;977.16;;0.00;0.00
749;L-Hala Lepirac 1;5;1001;Građevinski objekti visokograd;2016-07-01;2016-12-31;02310;03900;11866501.30;;0.00;0.00
751;L-TERMOLAKIRNICA;10;1008;Ostala oprema;2016-08-01;2016-12-31;03010;03901;1109227.26;;0.00;0.00
752;AURENA strojevii i alati;10;1008;Ostala oprema;2016-06-01;2016-12-31;03010;03901;95178.10;;0.00;0.00
753;L-AURENA strojevi i alati;10;1008;Ostala oprema;2016-06-01;2016-12-31;03010;03901;181622.90;;0.00;0.00
