inv_br;naziv;stopa;amgrp;amgrp_naz;datum_nabave;aktivirano;kto_nabave;kto otpisa;duguje;potrazuje;saldo;amortizacija_za_razdoblje
432;LAPTOP LENOVO;50;1003;Elekt. Računala, oprema i mobi;2008-07-10;2008-08-01;03110;03902;5906.56;5906.56;0.00;0.00
433;AUTO ZVUČNICI MLK 165 X2;50;1003;Elekt. Računala, oprema i mobi;2008-10-21;2008-11-01;03110;03902;3532.82;3532.82;0.00;0.00
434;LAPTOP LENOVO T400;50;1003;Elekt. Računala, oprema i mobi;2008-10-24;2008-11-01;03110;03902;9606.52;9606.52;0.00;0.00
435;MOBITEL NOKIA N95 8GB NAV;50;1003;Elekt. Računala, oprema i mobi;2008-12-01;2009-01-01;03110;03902;2375.41;2375.41;0.00;0.00
436;RAČUNALO  VE-MIL;50;1003;Elekt. Računala, oprema i mobi;2008-12-05;2009-01-01;03110;03902;2145.08;2145.08;0.00;0.00
437;KLIMA UREĐAJ X4;10;1008;Ostala oprema;2008-06-05;2008-07-01;03030;03906;14827.56;12603.12;2224.44;1482.72
438;VENTILATOR X4;10;1008;Ostala oprema;2008-07-17;2008-08-01;03020;03905;13936.60;11730.14;2206.46;1393.68
439;AGREGAT HONDA EU 20i;10;1008;Ostala oprema;2008-08-01;2008-09-01;03020;03905;8991.80;7493.00;1498.80;899.16
440;HIDRANT, VIJEVI I MLAZNIC;10;1008;Ostala oprema;2008-02-05;2008-03-01;03020;03905;3441.00;3040.08;400.92;344.16
441;INSTALACIJE I RADOVI;10;1008;Ostala oprema;2008-12-05;2009-01-01;03020;03905;65563.52;52450.56;13112.96;6556.32
442;PILA KRUŽNA KGS 303;10;1008;Ostala oprema;2008-02-05;2008-03-01;03230;03904;3659.25;3231.94;427.31;365.88
443;PILA UBODNA PS-300EQ PLUS;10;1008;Ostala oprema;2008-07-01;2008-08-01;03230;03904;2204.95;1855.37;349.58;220.44
444;KONTEJNER OTVORENI 5,5M3;10;1008;Ostala oprema;2008-02-20;2008-03-01;03220;03922;4972.50;4392.64;579.86;497.28
445;STALAK ZA BAČVE;10;1008;Ostala oprema;2008-04-11;2008-05-01;03220;03922;2094.75;1815.84;278.91;209.52
446;LADIČARI 2KOM;20;1004;Namještaj(uredski,pogonski);2008-06-12;2008-07-01;03210;03911;2423.88;2423.88;0.00;0.00
447;ORMARIĆI ZA REGISTRATORE;20;1004;Namještaj(uredski,pogonski);2008-07-20;2008-08-01;03210;03911;2426.23;2426.23;0.00;0.00
448;ORMAR ZA REGISTRATORE;20;1004;Namještaj(uredski,pogonski);2008-08-08;2008-09-01;03210;03911;7131.15;7131.15;0.00;0.00
449;STALAK KIŠOBRANI, GARDERO;20;1004;Namještaj(uredski,pogonski);2008-10-30;2008-11-01;03210;03911;4023.00;4023.00;0.00;0.00
450;GARD.STALAK I ORMAR;20;1004;Namještaj(uredski,pogonski);2008-10-30;2008-11-01;03210;03911;7064.00;7064.00;0.00;0.00
451;POLICE ZA REGISTRATORE;20;1004;Namještaj(uredski,pogonski);2008-11-07;2008-12-01;03210;03911;3705.73;3705.73;0.00;0.00
452;OPEL CORSA BJ 994 EB;25;1007;Vozila teretna i kombi vozila;2008-02-04;2008-03-01;03203;03903;0.00;0.00;0.00;0.00
453;FIAT PUNTO BJ460EC P2;25;1007;Vozila teretna i kombi vozila;2008-02-15;2008-03-01;03203;03903;29247.00;29247.00;0.00;0.00
455;RENAULT R11 BJ513EC;25;1007;Vozila teretna i kombi vozila;2008-03-19;2008-04-01;03203;03903;126780.36;126780.36;0.00;0.00
456;RENAULT R12 BJ514EC;25;1007;Vozila teretna i kombi vozila;2008-03-19;2008-04-01;03203;03903;125580.65;125580.65;0.00;0.00
457;RENAULT MAST.R13 BJ623EC;25;1007;Vozila teretna i kombi vozila;2008-03-31;2008-04-01;03203;03903;129571.39;129571.39;0.00;0.00
